Generation;Fitness
[1]; 7,26585
[2]; 3,4962
[3]; 0,80752
[4]; 0,77822
[5]; 0,76724
[6]; 0,07447
[7]; 0,06775
[8]; 0,04761
[9]; 0,04395
[10]; 0,04151
[11]; 0,03296
[12]; 0,03296
[13]; 0,03296
[14]; 0,03113
[15]; 0,03113
[16]; 0,03113
[17]; 0,03113
[18]; 0,03113
[19]; 0,03113
[20]; 0,03113
[21]; 0,03113
[22]; 0,03113
[23]; 0,03113
[24]; 0,03113
[25]; 0,03113
[26]; 0,03113
[27]; 0,03113
[28]; 0,03113
[29]; 0,03113
[30]; 0,03113
[31]; 0,03113
[32]; 0,03113
[33]; 0,03113
[34]; 0,03113
[35]; 0,03113
[36]; 0,03113
[37]; 0,03113
[38]; 0,03113
[39]; 0,03113
[40]; 0,03113
[41]; 0,03113
[42]; 0,03113
[43]; 0,03113
[44]; 0,03113
[45]; 0,03113
[46]; 0,03113
[47]; 0,03113
[48]; 0,03113
[49]; 0,03113
[50]; 0,03113
[51]; 0,03113
